                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4271,                 2.2267,                 1.6873,                0.76077,                0.85773,                0.88476,                0.42164,                 1.6054,                 2.1375,                 2.1153,             0.00047226,             0.00047226,             0.00047226
                      2,                 1.4118,                  1.433,                 1.5858,                0.80927,                0.81875,                0.88446,                0.44143,                  1.583,                 1.4681,                 2.0214,             0.00092981,             0.00092981,             0.00092981
                      3,                  1.423,                 1.1661,                 1.5815,                0.83697,                0.83815,                0.87961,                0.41111,                 1.7723,                 1.1503,                 2.1414,              0.0013685,              0.0013685,              0.0013685
                      4,                 1.4137,                 1.0604,                 1.5692,                0.92728,                 0.9038,                0.95699,                0.53863,                 1.4438,                0.90538,                   1.86,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3909,                0.98968,                 1.5506,                0.94675,                 0.9125,                0.96272,                0.54501,                 1.4624,                0.78145,                 1.8821,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.3677,                0.88068,                 1.5244,                0.93898,                0.86772,                0.92199,                0.48002,                 1.5992,                0.84196,                 1.9796,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.3298,                0.83112,                 1.4943,                0.96518,                0.95125,                0.98118,                0.55554,                 1.4734,                0.66549,                 1.8699,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.3005,                0.79673,                  1.471,                0.94708,                   0.94,                0.97026,                0.57001,                 1.4665,                0.68942,                 1.8582,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.3002,                0.75958,                 1.4674,                0.95863,                0.93896,                0.97078,                0.56587,                 1.4481,                0.67073,                 1.8209,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.2775,                0.77159,                 1.4484,                 0.9533,                0.96469,                0.97387,                 0.5376,                 1.5379,                0.62674,                 1.9088,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.2643,                0.72238,                 1.4396,                0.96423,                0.96564,                0.98237,                0.59208,                 1.3998,                0.57705,                 1.7791,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.2548,                0.71933,                 1.4368,                0.98214,                   0.97,                0.98939,                0.55376,                 1.4814,                0.61443,                 1.8676,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.2512,                0.71323,                 1.4346,                0.95628,                   0.96,                0.97947,                0.58812,                 1.3915,                0.58529,                 1.7602,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.2276,                0.68633,                 1.4223,                 0.9872,                0.97354,                0.99136,                0.59152,                 1.3991,                0.55692,                 1.7694,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.2144,                0.67717,                 1.4066,                0.96478,                0.97277,                0.98283,                0.56827,                 1.4457,                0.58419,                 1.8265,              0.0010612,              0.0010612,              0.0010612
                     16,                   1.21,                0.67481,                 1.4065,                0.96802,                0.97203,                0.98886,                0.60317,                 1.3811,                0.55646,                 1.7754,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.2059,                0.65184,                 1.4016,                0.96336,                0.97125,                0.98083,                0.57271,                 1.4334,                0.56873,                 1.8233,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.1859,                0.65071,                 1.3899,                0.97836,                  0.995,                 0.9901,                0.57939,                 1.4197,                0.52105,                  1.808,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.1829,                0.64328,                 1.3859,                0.98616,                 0.9879,                0.99001,                0.62587,                 1.3261,                0.50631,                 1.7168,               0.000948,               0.000948,               0.000948
                     20,                 1.1734,                0.63144,                 1.3835,                0.97952,                   0.99,                0.98949,                0.57633,                  1.458,                0.53166,                 1.8409,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.1799,                 0.6261,                 1.3899,                0.97433,                0.98375,                0.98614,                0.58372,                 1.4241,                0.51638,                 1.8149,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.1496,                0.61924,                 1.3669,                0.97623,                0.98927,                0.99035,                 0.5921,                 1.3867,                0.53125,                 1.7822,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.1504,                0.61105,                 1.3733,                0.98511,                 0.9879,                0.99221,                0.60416,                 1.3934,                0.50749,                 1.7912,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.1346,                0.59299,                 1.3481,                0.97932,                   0.99,                0.98883,                0.58297,                 1.4142,                0.50217,                 1.8038,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.1194,                 0.5888,                  1.345,                0.97346,                0.97157,                0.98605,                 0.5872,                 1.4029,                0.51353,                 1.8132,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.1221,                0.58298,                 1.3528,                0.98281,                0.99428,                0.99164,                0.62639,                 1.3441,                0.47463,                 1.7468,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.1015,                0.57445,                 1.3468,                0.97846,                0.98244,                0.99084,                0.60666,                  1.364,                0.50537,                 1.7705,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.0969,                0.58001,                 1.3328,                0.98485,                0.99249,                0.99048,                0.61416,                 1.3818,                0.47854,                 1.7756,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.0793,                0.55331,                 1.3261,                0.98172,                  0.995,                0.99228,                0.62914,                 1.3505,                0.47731,                 1.7643,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.0655,                0.54809,                 1.3129,                0.98723,                0.99218,                 0.9928,                0.62687,                 1.3407,                0.48822,                  1.736,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.0705,                0.54737,                 1.3223,                0.98786,                0.99125,                0.99311,                0.63069,                 1.3551,                0.47416,                 1.7532,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.0571,                 0.5451,                 1.3111,                0.98209,                0.98714,                 0.9914,                0.62705,                  1.331,                0.48071,                 1.7213,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.0463,                 0.5311,                 1.2979,                0.98522,                0.98484,                0.98937,                0.61022,                 1.3892,                0.47786,                 1.8081,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.0354,                0.52708,                 1.3054,                0.98733,                0.99125,                0.99228,                0.62194,                 1.3632,                0.47693,                 1.7712,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.0456,                0.53243,                  1.306,                0.98602,                0.99026,                0.99187,                0.62611,                 1.3436,                0.47692,                 1.7488,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.0265,                0.52578,                 1.2887,                0.98766,                0.99625,                0.99204,                0.63618,                  1.305,                0.46192,                 1.7087,               0.000467,               0.000467,               0.000467
                     37,                 1.0168,                0.52475,                 1.2915,                0.98192,                0.98772,                0.99229,                0.61607,                 1.3855,                0.49379,                 1.7904,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.0114,                0.51127,                 1.2878,                0.98006,                   0.99,                0.98686,                0.60969,                 1.3779,                 0.4683,                 1.8069,             0.00041041,             0.00041041,             0.00041041
                     39,                0.99636,                0.51264,                 1.2733,                0.98608,                 0.9925,                0.99129,                0.63059,                 1.3487,                0.46703,                  1.756,             0.00038211,             0.00038211,             0.00038211
                     40,                0.98101,                0.49723,                 1.2608,                0.98386,                0.99053,                0.99239,                0.62628,                 1.3327,                0.45607,                 1.7404,             0.00035382,             0.00035382,             0.00035382
                     41,                0.95094,                0.36652,                 1.3742,                0.98632,                0.99125,                0.99034,                0.62785,                 1.3179,                0.44955,                 1.7449,             0.00032553,             0.00032553,             0.00032553
                     42,                0.93427,                0.35501,                 1.3593,                0.98615,                0.99139,                0.99026,                 0.6147,                 1.3879,                0.46404,                 1.8268,             0.00029723,             0.00029723,             0.00029723
                     43,                0.91497,                0.34733,                 1.3411,                0.98395,                 0.9925,                0.99149,                0.61254,                 1.3808,                0.46467,                 1.8295,             0.00026894,             0.00026894,             0.00026894
                     44,                0.90078,                 0.3439,                 1.3325,                0.98759,                 0.9925,                0.99136,                0.63021,                 1.3336,                0.44891,                  1.759,             0.00024064,             0.00024064,             0.00024064
                     45,                0.88531,                0.33912,                 1.3308,                0.98212,                 0.9925,                0.99226,                0.61183,                 1.3996,                0.46185,                 1.8476,             0.00021235,             0.00021235,             0.00021235
                     46,                0.87819,                0.33342,                 1.3183,                 0.9886,                0.98832,                0.99141,                 0.6341,                 1.3426,                0.44999,                 1.7903,             0.00018406,             0.00018406,             0.00018406
                     47,                0.86022,                0.32702,                 1.3106,                0.98153,                 0.9975,                0.99239,                0.63911,                 1.3347,                 0.4425,                 1.7749,             0.00015576,             0.00015576,             0.00015576
                     48,                0.85395,                0.32341,                 1.3028,                0.97995,                0.98875,                0.99122,                0.62984,                 1.3672,                0.45361,                  1.821,             0.00012747,             0.00012747,             0.00012747
                     49,                0.85184,                0.32034,                 1.2982,                0.98506,                0.99625,                0.99253,                0.64433,                 1.3282,                0.43927,                 1.7722,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.83413,                0.31811,                 1.2985,                0.98475,                0.99625,                0.99148,                 0.6378,                 1.3402,                0.44084,                 1.7999,             7.0878e-05,             7.0878e-05,             7.0878e-05
